,Dosya_adi,sentiment
0,1.txt,Olumsuz
1,10.txt,Olumlu
2,100.txt,Olumlu
3,101.txt,Olumlu
4,102.txt,Olumlu
5,103.txt,Olumlu
6,104.txt,Olumlu
7,105.txt,Olumlu
8,106.txt,Olumsuz
9,107.txt,Olumsuz
10,108.txt,Olumlu
11,109.txt,Olumlu
12,11.txt,Olumlu
13,110.txt,Olumlu
14,111.txt,Olumsuz
15,112.txt,Olumsuz
16,113.txt,Olumsuz
17,114.txt,Olumsuz
18,115.txt,Olumlu
19,116.txt,Olumsuz
20,117.txt,Olumlu
21,118.txt,Olumsuz
22,119.txt,Olumsuz
23,12.txt,Olumlu
24,120.txt,Olumlu
25,121.txt,Olumsuz
26,122.txt,Olumsuz
27,123.txt,Olumlu
28,125.txt,Olumlu
29,126.txt,Olumsuz
30,127.txt,Olumlu
31,128.txt,Olumlu
32,129.txt,Olumlu
33,13.txt,Olumlu
34,130.txt,Olumlu
35,131.txt,Olumlu
36,132.txt,Olumlu
37,133.txt,Olumlu
38,134.txt,Olumlu
39,135.txt,Olumlu
40,136.txt,Olumlu
41,137.txt,Olumsuz
42,138.txt,Olumlu
43,139.txt,Olumsuz
44,14.txt,Olumlu
45,140.txt,Olumlu
46,141.txt,Olumsuz
47,142.txt,Olumlu
48,143.txt,Olumlu
49,144.txt,Olumsuz
50,145.txt,Olumlu
51,15.txt,Olumlu
52,16.txt,Olumlu
53,17.txt,Olumlu
54,18.txt,Olumlu
55,19.txt,Olumlu
56,2.txt,Olumlu
57,20.txt,Olumlu
58,21.txt,Olumsuz
59,22.txt,Olumlu
60,23.txt,Olumlu
61,24.txt,Olumlu
62,25.txt,Olumsuz
63,26.txt,Olumlu
64,27.txt,Olumsuz
65,28.txt,Olumsuz
66,29.txt,Olumsuz
67,3.txt,Olumlu
68,30.txt,Olumlu
69,31.txt,Olumsuz
70,4.txt,Olumlu
71,41.txt,Olumsuz
72,42.txt,Olumlu
73,43.txt,Olumlu
74,44.txt,Olumsuz
75,45.txt,Olumlu
76,46.txt,Olumlu
77,47.txt,Olumlu
78,48.txt,Belirsiz
79,49.txt,Olumlu
80,5.txt,Olumlu
81,50.txt,Olumsuz
82,51.txt,Olumlu
83,52.txt,Olumlu
84,53.txt,Olumlu
85,54.txt,Olumsuz
86,55.txt,Olumsuz
87,56.txt,Olumlu
88,57.txt,Olumlu
89,58.txt,Olumsuz
90,59.txt,Olumlu
91,6.txt,Olumlu
92,60.txt,Olumsuz
93,61.txt,Olumlu
94,62.txt,Olumlu
95,63.txt,Olumlu
96,64.txt,Olumlu
97,65.txt,Olumsuz
98,66.txt,Olumlu
99,67.txt,Olumlu
100,68.txt,Olumsuz
101,69.txt,Olumsuz
102,7.txt,Olumlu
103,70.txt,Olumlu
104,71.txt,Olumlu
105,72.txt,Olumlu
106,73.txt,Olumlu
107,74.txt,Olumlu
108,75.txt,Olumlu
109,76.txt,Olumlu
110,77.txt,Olumlu
111,78.txt,Olumlu
112,79.txt,Olumlu
113,8.txt,Olumlu
114,80.txt,Olumlu
115,81.txt,Olumlu
116,82.txt,Olumlu
117,83.txt,Olumlu
118,84.txt,Olumlu
119,85.txt,Olumsuz
120,86.txt,Olumlu
121,87.txt,Olumlu
122,88.txt,Olumlu
123,89.txt,Olumsuz
124,9.txt,Olumlu
125,90.txt,Olumsuz
126,91.txt,Olumlu
127,92.txt,Olumsuz
128,93.txt,Olumsuz
129,94.txt,Olumlu
130,95.txt,Olumlu
131,96.txt,Olumlu
132,97.txt,Olumlu
133,98.txt,Olumsuz
134,99.txt,Olumsuz
